title,description,price,category,brand,model
"Instrukcja obsługi Samsung Galaxy S21","Kompletna instrukcja obsługi dla Samsung Galaxy S21. Zawiera wszystkie funkcje i ustawienia telefonu.",29.99,Electronics,Samsung,Galaxy S21
"Manual Ford F-150 2012","Complete repair and user manual for Ford F-150 2012 pickup truck. Includes technical specifications.",49.99,Automotive,Ford,F-150 2012
"Instrukcja obsługi Bosch WAW28560PL","Instrukcja do pralki Bosch WAW28560PL. Programy prania, konserwacja, rozwiązywanie problemów.",19.99,Home Appliances,Bosch,WAW28560PL
"Sony Bravia XR-55A90J TV Manual","User guide for Sony Bravia XR-55A90J OLED TV. Setup, features, troubleshooting.",34.99,Electronics,Sony,XR-55A90J
"DeWalt DCD996 Drill Manual","Operating manual for DeWalt DCD996 cordless drill. Safety instructions and maintenance.",24.99,Power Tools,DeWalt,DCD996
"Instrukcja Siemens EQ.6 Plus","Instrukcja obsługi ekspresu do kawy Siemens EQ.6 Plus. Przygotowanie napojów, czyszczenie.",39.99,Home Appliances,Siemens,EQ.6 Plus
"HP LaserJet Pro M404n Manual","User manual for HP LaserJet Pro M404n printer. Installation, configuration, maintenance.",29.99,Office Equipment,HP,LaserJet Pro M404n
"Instrukcja Electrolux EOB8S31X","Pełna instrukcja obsługi piekarnika Electrolux EOB8S31X. Funkcje, programy, czyszczenie.",24.99,Home Appliances,Electrolux,EOB8S31X
"Canon EOS R5 Camera Manual","Complete guide for Canon EOS R5 mirrorless camera. Settings, shooting modes, menu system.",44.99,Photography,Canon,EOS R5
"Makita DHP484 Manual","Operating instructions for Makita DHP484 cordless hammer drill. Safety and usage guidelines.",27.99,Power Tools,Makita,DHP484
